fold,epoch,accuracy,hamming_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,roc_auc_macro,train_loss,val_loss,elapsed_s,n_retried,n_failed
1,0,0.07681654510202197,0.08773757864331219,0.27642642198884865,0.2535906642728905,0.24484081519725925,0.27591852806679407,0.4702184997238666,0.72227008541925,,,,34,10
2,0,0.07132284921369103,0.08901149729086824,0.2709650076400048,0.2494428348562514,0.23943389952694422,0.26990712641011844,0.4668301340632467,0.7180629057625605,,,,36,12
3,0,0.07456626061277224,0.08825410008964826,0.27570557493862735,0.2502589948201036,0.24042604299407416,0.27807212126691966,0.46150857282468544,0.720943193344944,,,,32,15
4,0,0.07690897424145202,0.08860639314851433,0.2738679501356082,0.24716975883841896,0.238588778078522,0.274423468897521,0.46922645886409364,0.7235763841893863,,,,31,8
5,0,0.0803834808259587,0.08838693109987358,0.27865441255800066,0.25127590149761553,0.24595719560743112,0.28045559753632926,0.46852393859773106,0.720884755280531,,,,35,12
