,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
fold_1,0.1600703605980651,0.4797008547008547,0.22582826233941852,0.2255105060668837,0.07334963325183375,0.27417840375586855,0.2656641604010025,0.27485380116959063,0.26666666666666666,0.10437986082685223,0.17003188097768332,0.20518134715025907,0.3673469387755102,0.30165289256198347,0.33271719038817005,0.8488888888888889,0.1875,0.26557949912638323,0.6194368755676658,0.12987012987012986,0.2872246696035242,0.1048951048951049,0.19470899470899472,0.11009174311926606,0.5190311418685121,0.36695652173913046,0.2931937172774869,0.08542976939203355
fold_2,0.1375,0.4741514360313316,0.2099702872235061,0.22870478413068845,0.05896805896805897,0.22484134179510426,0.2640874684608915,0.24707259953161592,0.2632612966601179,0.10942120828052387,0.17566137566137566,0.2084942084942085,0.35526315789473684,0.2928870292887029,0.35294117647058826,0.8243243243243243,0.12612612612612611,0.2816281628162816,0.6131386861313869,0.20454545454545456,0.2973451327433628,0.09090909090909091,0.138801261829653,0.11527377521613832,0.5016949152542373,0.3942652329749104,0.3076923076923077,0.0880503144654088
fold_3,0.14464285714285716,0.46776771443793286,0.22038385175380543,0.24538799414348464,0.07804878048780488,0.2549203373945642,0.2651201325600663,0.26430678466076696,0.2909090909090909,0.1062461091512762,0.15677966101694915,0.1795142555438226,0.42038216560509556,0.3225806451612903,0.3616636528028933,0.8140403286034354,0.0761904761904762,0.26666666666666666,0.6162162162162163,0.25,0.2893539581437671,0.1111111111111111,0.14721345951629863,0.08849557522123894,0.5512367491166078,0.3398576512455516,0.3071253071253071,0.08359456635318704
fold_4,0.15775635407537247,0.46258503401360546,0.21130856219709207,0.24203821656050956,0.08759124087591241,0.2662993572084481,0.2519548218940052,0.25101214574898784,0.2664015904572565,0.10409072498987444,0.1891604675876727,0.18886679920477137,0.2900763358778626,0.27176220806794055,0.37453183520599254,0.8214826021180031,0.15384615384615385,0.2775881683731513,0.6128440366972477,0.28205128205128205,0.308529945553539,0.14074074074074075,0.12870275791624106,0.12179487179487179,0.5161290322580645,0.3239929947460595,0.28761651131824234,0.07754781241812943
fold_5,0.17247386759581881,0.44878563885955647,0.20169160702667535,0.24120895088637023,0.08526187576126674,0.24528301886792453,0.2746710526315789,0.25225225225225223,0.30962343096234307,0.10648435881499896,0.17997977755308392,0.18666666666666668,0.38666666666666666,0.33548387096774196,0.34470377019748655,0.8332075471698113,0.05263157894736842,0.26440677966101694,0.6357012750455373,0.25,0.34150943396226413,0.11888111888111888,0.140641158221303,0.13213213213213212,0.5342019543973942,0.3592814371257485,0.2823529411764706,0.08613938919342208
