outer_fold,accuracy,hamming_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,roc_auc_macro,defuzz,elapsed_s
1,0.17773058812667344,0.0662681192872311,0.40368053323806674,0.4518750852311469,0.5034083648332353,0.3522322569583062,0.5416398890487164,0.8494620953666295,centroid,28.7
2,0.17372802960222017,0.06769195189639222,0.4060519732408491,0.44914639064390377,0.5032618008850571,0.35484719961129324,0.551295515867679,0.8572802483632777,centroid,29.1
3,0.15854558877814692,0.06997837894847862,0.39629725305460234,0.4418213365581787,0.4986496249737606,0.34011364067279887,0.5602234879379588,0.8457049451910165,centroid,27.7
4,0.16637638646988726,0.06886515720964341,0.4033413474015421,0.4435626802105653,0.5008709005338499,0.34847727150648566,0.55125992417105,0.8547506890124191,centroid,28.1
5,0.17053834808259588,0.06903181626632954,0.3943920616991751,0.4423107612107027,0.49617055515843234,0.33679169067384135,0.5432628530254661,0.853407111777134,centroid,28.8
