,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
fold_1,0.5851559698816781,0.7317909168808912,0.3593220338983051,0.2952720785013381,0.26550019018638266,0.30139103554868624,0.266173752310536,0.3201803833145434,0.5122615803814714,0.1954359274429491,0.3103983445421624,0.3181818181818182,0.36046511627906974,0.2847222222222222,0.47333333333333333,0.8975903614457831,0.13043478260869565,0.41911764705882354,0.755877034358047,0.2204724409448819,0.4973404255319149,0.4,0.12164383561643835,0.203125,0.631578947368421,0.3638113570741097,0.4400785854616896,0.6423998102916766
fold_2,0.5963060686015831,0.7380015735641228,0.33520336605890605,0.31175934366453967,0.2738486842105263,0.27675840978593275,0.327909887359199,0.29376693766937667,0.41924398625429554,0.1917808219178082,0.33367037411526795,0.3625,0.3728813559322034,0.24350205198358413,0.49002849002849,0.8719135802469136,0.3111111111111111,0.38026905829596414,0.764367816091954,0.2608695652173913,0.4314606741573034,0.425531914893617,0.1206977840641207,0.2459016393442623,0.5825242718446602,0.3331181407359587,0.41924398625429554,0.6552843573403871
fold_3,0.5866372980910426,0.7202521670606777,0.3478818998716303,0.2743556138051551,0.2753195673549656,0.254050550874919,0.31391200951248516,0.3164484917472965,0.41379310344827586,0.18791946308724833,0.3131115459882583,0.34960629921259845,0.3878787878787879,0.2916666666666667,0.4603174603174603,0.8649885583524027,0.03747072599531616,0.3885819521178637,0.7526881720430108,0.23255813953488372,0.4397590361445783,0.41935483870967744,0.14342629482071714,0.23655913978494625,0.6622950819672131,0.3107113654946852,0.46680080482897385,0.6479780508171299
fold_4,0.5886312640239342,0.7277187244480785,0.3401015228426396,0.2926441351888668,0.30976965845909454,0.24149004495825305,0.24007386888273316,0.31104033970276007,0.43410852713178294,0.1875,0.3116591928251121,0.3081967213114754,0.3142857142857143,0.22791293213828426,0.5217391304347826,0.8769470404984424,0.125,0.4007597340930674,0.7808836789900812,0.3816793893129771,0.4679334916864608,0.5833333333333334,0.13229571984435798,0.18181818181818182,0.5802816901408451,0.3256997455470738,0.452,0.648053945344848
fold_5,0.5810557843504306,0.7277070063694268,0.36495031616982837,0.30264279624893436,0.2855067199418816,0.2833333333333333,0.30057803468208094,0.30083234244946494,0.4065573770491803,0.19462365591397848,0.28762243989314334,0.34904013961605584,0.3163265306122449,0.2549800796812749,0.4598337950138504,0.8785769528228925,0.14925373134328357,0.4043179587831207,0.7452745274527453,0.34285714285714286,0.44923857868020306,0.4,0.1412987012987013,0.21621621621621623,0.5760869565217391,0.27675840978593275,0.40296296296296297,0.644545237526856
