model,fold,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_micro,eval_f1_weighted,eval_precision_macro,eval_precision_micro,eval_precision_weighted,eval_recall_macro,eval_recall_micro,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
BERTimbau,0,0.0663692057132721,0.39917031574095413,0.41499417893904417,0.5273780378575267,0.4859357489086379,0.5838186652084701,0.6767816091954023,0.6276657539225008,0.3622196372664277,0.43200939150851103,0.43200939150851103,16.6717,520.522,32.57,4.0
BERTimbau,1,0.06811125576496124,0.38937543212721826,0.3803191373013561,0.5185994295770374,0.481834645924678,0.5560112776877636,0.6819342483242898,0.6365258709164885,0.32741025388437794,0.4183883286008029,0.4183883286008029,16.7152,519.168,32.485,4.0
BERTimbau,2,0.06702665239572525,0.384349429526334,0.3567795222908491,0.5133808003928308,0.47039769077256716,0.49741212300088994,0.6850122850122851,0.6218733269361946,0.309148603541201,0.4105232158633553,0.4105232158633553,16.9248,512.679,32.083,4.0
BERTimbau,3,0.0688762217760086,0.3800852829318889,0.38069983149216063,0.5093197772936335,0.4663999141920799,0.5812446289378225,0.670170409300844,0.6129986084761537,0.3262230880579495,0.4107369448511469,0.4107369448511469,16.8208,515.849,32.281,4.0
BERTimbau,4,0.06845279783010483,0.38400368791056816,0.3812250045241655,0.5103714423540762,0.4670129892181422,0.5689656272666653,0.6665616632540557,0.6078850346585495,0.3290144963429648,0.4134831460674157,0.4134831460674157,16.7531,517.935,32.412,4.0
