model,fold,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_micro,eval_f1_weighted,eval_precision_macro,eval_precision_micro,eval_precision_weighted,eval_recall_macro,eval_recall_micro,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
XLM-RoBERTa,0,0.07071183621883392,0.31355150956441574,0.2600297905925545,0.4534136546184739,0.3788817122929543,0.38465274608639366,0.7178889359898262,0.5612448401902089,0.2384005594937443,0.3313441596556447,0.3313441596556447,15.8446,547.694,34.27,4.0
XLM-RoBERTa,1,0.07282022386789322,0.30709840977183683,0.255668507168322,0.447536465685286,0.37861877059832816,0.3906444407653827,0.7137650085763293,0.5471197252229153,0.2295791685782517,0.32595711348281603,0.32595711348281603,16.0586,540.395,33.814,4.0
XLM-RoBERTa,2,0.07096738368272781,0.3148553647574046,0.25772740515478315,0.4536565764800429,0.3833274372625998,0.357524374724819,0.7138040042149632,0.5335595665551641,0.2309491110846553,0.3324825758319427,0.3324825758319427,15.959,543.705,34.025,4.0
XLM-RoBERTa,3,0.07357349246740341,0.3054050939264723,0.24870440601979515,0.44481382978723405,0.3698756437335056,0.3263553874025739,0.6976016684045881,0.494307146318639,0.226807524010144,0.32650073206442165,0.32650073206442165,15.8785,546.463,34.197,4.0
XLM-RoBERTa,4,0.07357217371463776,0.312896162268065,0.2557435549596436,0.4499233690944226,0.37234664418270635,0.34915544375584356,0.7074601844090528,0.501095709400565,0.22939806386005213,0.3298485588666341,0.3298485588666341,15.8877,546.145,34.177,4.0
