model,fold,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_micro,eval_f1_weighted,eval_precision_macro,eval_precision_micro,eval_precision_weighted,eval_recall_macro,eval_recall_micro,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
Albertina,0,0.06628725677728653,0.384996542982254,0.426181673594807,0.5145534407027819,0.48492908062010226,0.5352778801467742,0.6410331241791916,0.6072206261471172,0.38967014191089966,0.42975934259440424,0.42975934259440424,78.9603,109.903,6.877,4.0
Albertina,1,0.06750381737947464,0.3825766305600369,0.4355496197343096,0.5158312126412973,0.48864502382480934,0.5433205077097821,0.6520047875523639,0.62356585090565,0.39609748535740735,0.4267110545383335,0.4267110545383335,78.8728,110.025,6.884,4.0
Albertina,2,0.06630739569664001,0.3961046444623718,0.44338826999243464,0.5235352301157852,0.49638420121664795,0.5432237252541644,0.6427142857142857,0.6083144084289146,0.40142215324484953,0.44164130754883674,0.44164130754883674,91.6053,94.722,5.928,4.0
Albertina,3,0.06897307932376862,0.37766509162152817,0.4246800621933429,0.5053530685075762,0.47432252038320794,0.5345308358894828,0.630695093457944,0.5971105361845629,0.38395614008497764,0.4215714982918497,0.4215714982918497,90.8454,95.514,5.977,4.0
Albertina,4,0.06823626160621643,0.3851561599631209,0.42525434001183987,0.5124546836627295,0.4843355103829897,0.52834984304006,0.6381243628950051,0.6115589324144002,0.38897118771714684,0.42813873961895454,0.42813873961895454,91.6091,94.718,5.927,4.0
