model,fold,eval_loss,eval_accuracy,eval_f1_macro,eval_f1_micro,eval_f1_weighted,eval_precision_macro,eval_precision_micro,eval_precision_weighted,eval_recall_macro,eval_recall_micro,eval_recall_weighted,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch
mBERT,0,0.07183326780796051,0.33463931781516476,0.28807676717241787,0.4664719246997728,0.3916179482371615,0.4469553876192637,0.6932278603125603,0.5240320908619726,0.25113120715279036,0.3514967716689493,0.3514967716689493,17.8215,486.939,30.469,4.0
mBERT,1,0.07366903871297836,0.33060613044480297,0.2847602754281557,0.46559468784584335,0.3968228576832719,0.46554220488825493,0.6946386946386947,0.561043416520159,0.25081387861790333,0.350141975913052,0.350141975913052,17.8401,486.432,30.437,4.0
mBERT,2,0.07173475623130798,0.3284545349775268,0.27542822954656054,0.4627225882199465,0.39311113352093624,0.4122253787933613,0.6895412130637636,0.522896737327467,0.24419299667940983,0.34818886816530875,0.34818886816530875,16.7991,516.515,32.323,4.0
mBERT,3,0.07498049736022949,0.3186585225308286,0.2901922549948366,0.45430265129307534,0.37808429357253803,0.4432947013174942,0.6829220524872699,0.5002732175403191,0.26071716060295486,0.3403611517813568,0.3403611517813568,16.8585,514.697,32.209,4.0
mBERT,4,0.07326690107584,0.33456263685605625,0.3049944868550184,0.466224483224934,0.39263087631692706,0.40897380372413944,0.6837929731771817,0.4655096243713589,0.273778307142205,0.35368832437713726,0.35368832437713726,16.6012,522.673,32.708,4.0
