Configuração,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,roc_auc_macro,avg_precision_macro
BERT@0.5,0.3827 ± 0.0067,0.6072 ± 0.0212,0.3415 ± 0.0066,0.3990 ± 0.0095,0.5069 ± 0.0068,0.8930 ± 0.0026,0.4353 ± 0.0100
BERT@tuned,0.3457 ± 0.0080,0.4720 ± 0.0078,0.4864 ± 0.0130,0.4688 ± 0.0090,0.5415 ± 0.0053,0.8930 ± 0.0026,0.4353 ± 0.0100
LR@0.5,0.1873 ± 0.0088,0.3240 ± 0.0088,0.4652 ± 0.0075,0.3655 ± 0.0052,0.4152 ± 0.0054,0.8390 ± 0.0017,0.3362 ± 0.0092
LR@tuned,0.2422 ± 0.0071,0.3747 ± 0.0131,0.4119 ± 0.0136,0.3784 ± 0.0050,0.4690 ± 0.0020,0.8390 ± 0.0017,0.3362 ± 0.0092
