outer_fold,accuracy,hamming_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,roc_auc_macro,defuzz,elapsed_s
1,0.34059643615547963,0.045850534840471135,0.41913002246214165,0.5203022044364716,0.5294777229558056,0.38025630102423674,0.4980108055305378,0.8315982101238787,bisector,16.1
2,0.24514338575393155,0.06223404255319149,0.405877159576108,0.45540489751076935,0.5248784328133003,0.35901168943327544,0.5507201964228539,0.8554886086825707,mom,14.0
3,0.2070874861572536,0.0618078626799557,0.41463458027318534,0.449234926135863,0.5264005037999432,0.37708805977241794,0.5220545340979496,0.8433045746295452,mom,14.0
4,0.3250527087725731,0.05007660778125532,0.4141156868748145,0.49944368086916685,0.5246010510449772,0.3738728839540883,0.49916831604210943,0.8209232024798776,bisector,14.3
5,0.3063237463126844,0.05171789401601348,0.415845593605698,0.4928490718321227,0.5215570022758519,0.37180481513549085,0.5086931017528579,0.8267736374493266,bisector,14.5
