fold,epoch,accuracy,hamming_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,roc_auc_macro,train_loss,val_loss,elapsed_s
1,6,0.3945157418520912,0.03321484627458222,0.41170265510489357,0.5177844798697879,0.48276939050317286,0.5692283257259442,0.35317613482531895,0.8866915834996065,0.0259,0.0382,4205.0
2,6,0.38769657724329326,0.033352054975551736,0.42726268852139565,0.5168238165892883,0.48290139172158325,0.5901266453731975,0.36667803081198097,0.8966281475891122,0.0256,0.0365,6495.0
3,6,0.39368770764119604,0.033390681854137,0.4206957144438181,0.5183741383408604,0.48342049124371217,0.5648149093165836,0.36425436463550787,0.893446145731829,0.0261,0.037,3163.7
4,5,0.37620313502612523,0.03379909118290272,0.412795635823653,0.5014487154722812,0.4655672072301393,0.5575333443840873,0.358795750303264,0.8905895838642062,0.0284,0.0371,2950.9
5,6,0.39306784660766964,0.03346897387273493,0.4218207807668525,0.5157202743902439,0.4823562072544338,0.5707197630139482,0.3645115448211831,0.8901217594500377,0.0257,0.0374,3430.9
