,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
fold_1,0.6267866596082583,0.7777777777777778,0.3205574912891986,0.06422018348623854,0.23093681917211328,0.36080178173719374,0.38524590163934425,0.23796033994334279,0.5276872964169381,0.14168937329700274,0.2009132420091324,0.411214953271028,0.464,0.34576271186440677,0.5159010600706714,0.9127413127413128,0.13333333333333333,0.4206896551724138,0.7535680304471931,0.10344827586206896,0.5488958990536278,0.45454545454545453,0.20481927710843373,0.1724137931034483,0.6431095406360424,0.46060606060606063,0.5336134453781513,0.5744346733668342
fold_2,0.6377742108079186,0.7536988685813751,0.375,0.02821316614420063,0.2267818574514039,0.3069306930693069,0.36072144288577157,0.276797829036635,0.48727272727272725,0.1443850267379679,0.2218700475435816,0.4115755627009646,0.4580152671755725,0.34782608695652173,0.5454545454545454,0.9008455034588778,0.3333333333333333,0.5023400936037441,0.7777777777777778,0.2727272727272727,0.5022156573116692,0.4897959183673469,0.19883040935672514,0.3,0.5653710247349824,0.4612476370510397,0.5053533190578159,0.5712
fold_3,0.6245919477693145,0.7582697201017812,0.3881578947368421,0.04580152671755725,0.2038073908174692,0.3418013856812933,0.38966202783300197,0.3169107856191744,0.47686832740213525,0.11731843575418995,0.21671826625386997,0.32323232323232326,0.464,0.3780487804878049,0.5353159851301115,0.8936170212765957,0.15384615384615385,0.43,0.7860508953817154,0.37333333333333335,0.5397815912636506,0.4528301886792453,0.20118343195266272,0.1935483870967742,0.6263345195729537,0.4307692307692308,0.5438972162740899,0.5737832374436324
fold_4,0.6385079539221065,0.7818028643639428,0.4032520325203252,0.0693815987933635,0.15186915887850466,0.3093220338983051,0.3346938775510204,0.20527859237536658,0.49838187702265374,0.14794520547945206,0.19476744186046513,0.35664335664335667,0.3969465648854962,0.32679738562091504,0.5755395683453237,0.8790199081163859,0.11764705882352941,0.41754385964912283,0.7780872794800371,0.37681159420289856,0.5676855895196506,0.52,0.1641337386018237,0.25925925925925924,0.5641025641025641,0.42935779816513764,0.5560344827586207,0.5374651582226595
fold_5,0.625,0.7458745874587459,0.35168738898756663,0.06172839506172839,0.25993555316863587,0.3593073593073593,0.38762886597938145,0.25824175824175827,0.43478260869565216,0.1266490765171504,0.20864381520119224,0.3630769230769231,0.4878048780487805,0.35365853658536583,0.49230769230769234,0.8904320987654321,0.1875,0.45840407470288624,0.7700934579439253,0.44776119402985076,0.5307346326836582,0.4,0.1566265060240964,0.2545454545454545,0.6217948717948718,0.49624060150375937,0.5085470085470085,0.5719745222929936
