fold,epoch,accuracy,hamming_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,roc_auc_macro,train_loss,val_loss,elapsed_s
1,4,0.38888375957898624,0.032845535961591725,0.39992516058813177,0.5128380691543992,0.4642787958552969,0.628257045661897,0.34171950313465327,0.8921223890915114,0.0319,0.0363,1724.6
2,4,0.3845513413506013,0.032727633143914366,0.41099047122311916,0.5110079968407543,0.46453524874961594,0.614389429948748,0.34394552622777436,0.8974652632525377,0.031,0.0351,1704.3
3,4,0.3806755260243632,0.03260296366608659,0.40435158636947177,0.5093740700327348,0.4585342450294831,0.6053299399040598,0.34998619579006757,0.8920506574295166,0.0318,0.0363,1722.5
4,4,0.3872948941241177,0.03289878606131241,0.3928831927822801,0.5055842558425584,0.45451548418220256,0.5721473457996492,0.3401979625623692,0.890610863954506,0.032,0.0362,1709.9
5,3,0.3720501474926254,0.03331094605983986,0.38674037123761845,0.4958142316125174,0.44544236975975804,0.6159520978938906,0.33185655801443786,0.892911920374223,0.0348,0.0367,1711.8
