,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
fold_1,0.6048834628190899,0.7677642980935875,0.3576158940397351,0.009615384615384616,0.13947696139476962,0.2826666666666667,0.3165137614678899,0.187207488299532,0.5416666666666666,0.08284023668639054,0.12542372881355932,0.3911671924290221,0.5245901639344263,0.2814814814814815,0.5723905723905723,0.9176289453425712,0.13333333333333333,0.43963963963963965,0.7564966313763234,0.25396825396825395,0.5412541254125413,0.4583333333333333,0.03546099290780142,0.2553191489361702,0.632996632996633,0.4910891089108911,0.512249443207127,0.5848309473042949
fold_2,0.6292134831460674,0.7635075287865367,0.3626943005181347,0.0,0.10986267166042447,0.2704225352112676,0.30155210643015523,0.2334293948126801,0.4409448818897638,0.093841642228739,0.1644295302013423,0.4437299035369775,0.43859649122807015,0.2730627306273063,0.5682656826568265,0.884375,0.5,0.4448336252189142,0.7806763285024154,0.3492063492063492,0.5,0.4583333333333333,0.007194244604316547,0.375,0.5512367491166078,0.4910891089108911,0.4827586206896552,0.5894769517305603
fold_3,0.6298591549295774,0.756244616709733,0.3758620689655172,0.00322061191626409,0.09681528662420383,0.3089005235602094,0.3219954648526077,0.14545454545454545,0.48028673835125446,0.06042296072507553,0.1256544502617801,0.3593220338983051,0.49586776859504134,0.2898550724637681,0.609271523178808,0.8859375,0.20689655172413793,0.4293381037567084,0.7650485436893204,0.39436619718309857,0.5224358974358975,0.5185185185185185,0.0,0.2962962962962963,0.6905537459283387,0.44234404536862004,0.5263157894736842,0.5847604084838963
fold_4,0.6192714453584018,0.7473684210526316,0.375,0.0,0.08894536213468869,0.2739018087855297,0.22748815165876776,0.19254658385093168,0.4808362369337979,0.04923076923076923,0.11301369863013698,0.36666666666666664,0.38848920863309355,0.2746478873239437,0.5663082437275986,0.8835027365129007,0.13793103448275862,0.4392857142857143,0.7925925925925926,0.48,0.49916805324459235,0.625,0.0,0.25,0.5947712418300654,0.41965973534971646,0.5230769230769231,0.5920268825416222
fold_5,0.5911949685534591,0.7261373773416593,0.2803738317757009,0.0096,0.03723404255319149,0.34328358208955223,0.37872340425531914,0.1553398058252427,0.44280442804428044,0.012578616352201259,0.14950166112956811,0.32608695652173914,0.4740740740740741,0.3298245614035088,0.5514705882352942,0.888715953307393,0.3157894736842105,0.45018450184501846,0.7476280834914611,0.3137254901960784,0.5016077170418006,0.44,0.0,0.2,0.6261980830670927,0.47418738049713194,0.48484848484848486,0.5776173285198556
