Configuração,accuracy,precision_macro,recall_macro,f1_macro,f1_micro,roc_auc_macro,avg_precision_macro
Albertina@0.5,0.3891 ± 0.0076,0.5705 ± 0.0120,0.3615 ± 0.0055,0.4189 ± 0.0065,0.5141 ± 0.0071,0.8915 ± 0.0037,0.4308 ± 0.0078
Albertina@tuned,0.3421 ± 0.0041,0.4625 ± 0.0062,0.4866 ± 0.0103,0.4660 ± 0.0045,0.5419 ± 0.0041,0.8915 ± 0.0037,0.4308 ± 0.0078
LR@0.5,0.1873 ± 0.0088,0.3240 ± 0.0088,0.4652 ± 0.0075,0.3655 ± 0.0052,0.4152 ± 0.0054,0.8390 ± 0.0017,0.3362 ± 0.0092
LR@tuned,0.2422 ± 0.0071,0.3747 ± 0.0131,0.4119 ± 0.0136,0.3784 ± 0.0050,0.4690 ± 0.0020,0.8390 ± 0.0017,0.3362 ± 0.0092
