Modelo,precision_macro,recall_macro,f1_macro,f1_macro_std,f1_micro,roc_auc_macro
Albertina@tuned,0.46252676626668465,0.48663215185108355,0.4659597517057289,0.004512547701313371,0.5418604158480611,0.8914958405512848
Albertina@0.5,0.5705368838794725,0.36154479921482946,0.41892099356707335,0.006542535551464989,0.5140633654712743,0.8914958405512848
Ensemble Fuzzy v2,0.3724067498639019,0.5157293907692617,0.4139206085583894,0.0049012356437586274,0.48344695615687866,0.8356176466730398
Ensemble Fuzzy v1,0.34649241188454505,0.5495363340101741,0.40075263372684705,0.00509078399600276,0.4457432507708994,0.8521210179420955
LR@tuned,0.3747174434920838,0.4119284615964536,0.3784174222027821,0.00502997812661745,0.4690401881692763,0.8390446503819728
LR@0.5,0.32397453016857136,0.4652220257406806,0.36553973207749957,0.005196339749090506,0.41523993859720587,0.8390446503819728
