,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
fold_1,0.6001899335232669,0.724342663273961,0.39242219215155616,0.1969147005444646,0.19733117670845127,0.31029986962190353,0.26112759643916916,0.22488287350338365,0.5132743362831859,0.14814814814814814,0.23115577889447236,0.30793650793650795,0.12121212121212122,0.1791044776119403,0.30078125,0.8902077151335311,0.19047619047619047,0.4540059347181009,0.7472118959107806,0.18518518518518517,0.5106382978723404,0.42857142857142855,0.16507177033492823,0.1728395061728395,0.6148648648648649,0.44473007712082263,0.25228891149542215,0.5807924781732706
fold_2,0.6074074074074074,0.7309644670050761,0.25370919881305637,0.19592198581560283,0.2154243860404998,0.2570694087403599,0.33384853168469864,0.22091152815013404,0.46105919003115264,0.16753022452504318,0.23392461197339245,0.28164556962025317,0.15058823529411763,0.1536819637139808,0.43342036553524804,0.8786737000753579,0.36363636363636365,0.4536082474226804,0.7518518518518519,0.18,0.4708860759493671,0.18666666666666668,0.16211121583411875,0.12121212121212122,0.5906040268456376,0.39215686274509803,0.2721518987341772,0.5825424408501537
fold_3,0.6125954198473282,0.7114093959731543,0.2940746159473299,0.20548541575968654,0.2175495349777598,0.3,0.33035714285714285,0.21269487750556793,0.4528301886792453,0.15894039735099338,0.2429042904290429,0.3167259786476868,0.16589861751152074,0.3145539906103286,0.3229357798165138,0.8722139673105498,0.1527777777777778,0.45897079276773295,0.7641509433962265,0.17699115044247787,0.5418848167539267,0.3448275862068966,0.1585081585081585,0.05042016806722689,0.5923344947735192,0.39487726787620064,0.3032191069574247,0.5860979462875198
fold_4,0.6255506607929515,0.7231920199501247,0.2765957446808511,0.20935412026726058,0.2013129102844639,0.2806603773584906,0.1930567315834039,0.22502744237102085,0.484149855907781,0.1689623507805326,0.21019108280254778,0.28130360205831906,0.21428571428571427,0.17704918032786884,0.49577464788732395,0.8699619771863117,0.08163265306122448,0.49157303370786515,0.7596330275229358,0.27419354838709675,0.5413929040735874,0.44776119402985076,0.1619047619047619,0.16666666666666666,0.5856697819314641,0.37485714285714283,0.3029087261785356,0.5755660874144286
fold_5,0.6001926782273603,0.7311475409836066,0.27967257844474763,0.23811764705882352,0.20857863751051303,0.3065134099616858,0.24271844660194175,0.20622986036519872,0.44171779141104295,0.1815038893690579,0.24462061155152887,0.30612244897959184,0.15347721822541965,0.18333333333333332,0.3227016885553471,0.8743416102332581,0.20408163265306123,0.4814305364511692,0.7424931756141947,0.22988505747126436,0.5390835579514824,0.25,0.18544600938967137,0.13333333333333333,0.5986842105263158,0.35662148070907196,0.2537313432835821,0.5741485652990078
