outer_fold,accuracy,hamming_loss,f1_macro,f1_micro,f1_weighted,precision_macro,recall_macro,roc_auc_macro,elapsed_s
1,0.19795032776290278,0.0629311368162813,0.3695002814957942,0.4159143075745983,0.46521317251874794,0.33240271746749367,0.45598613834567503,0.837474481691327,2315.3
2,0.1849213691026827,0.06435179067001454,0.3608288766490578,0.41136294953158054,0.4613411513742425,0.317169335476731,0.45866786822726685,0.8413814130429867,2366.3
3,0.19352159468438537,0.0622297368559827,0.3662939222513906,0.42409638554216866,0.46921376012813804,0.3248725539772828,0.47291872362209403,0.8394716555323317,2459.6
4,0.18480154001283344,0.06390202061207653,0.3714352837950189,0.4142484170092729,0.4627251291176243,0.33236495278064915,0.46739986137325007,0.8395377102189582,2381.7
5,0.17533185840707965,0.06567701748841129,0.35964029619623605,0.4105776333284089,0.46079834831893823,0.31306309114070024,0.4711375371351169,0.8373579914242603,2423.2
